#	Arena
system "Omnis"
	"Firelight Missile Bank"
	"Firelight Turning"
	"Firelight Activated"
	"Microbot Grinder"
	"Firestorm Torpedo"
	"Firestorm Torpedo Rack"
	"Firestorm Battery"
	"Nano Strike"
	"Pug Zapper"
	"Pug Zapper Turret"
	"Pug Seeker"
	"Pug Anti-Missile"
	"Tier 3 Anti-Missile"
	"Pug Gridfire Turret"
	"Pug Akfar Thruster"
	"Pug Akfar Steering"
	"Pug Cormet Thruster"
	"Pug Cormet Steering"
	"Pug Lohmar Thruster"
	"Pug Lohmar Steering"
	"Pug Biodefenses"
	"Pug Peacekeeping Staff"
	"Korath Tek'far Reactor"
	"Korath Tek'nel Reactor"
	"Korath Shield Generator"
	"Korath Heat Shunt"
	"Korath Ark'torbal Thruster"
	"Korath Ark'parat Steering"
	"Korath Jak'torbal Thruster"
	"Korath Jak'parat Steering"
	"Mass Expansion"
	"Reverse Thruster"
	"Bullfrog Anti-Missile Turret"
	"Chameleon Anti-Missile Turret"
	"Cruiser License"
	"Carrier License"
	"Afterburner"
	"Korath Grab-Strike"
	"Korath Banisher"
	"Korath Warder"
	"Korath Fire-Lance"
	"Korath Repeater"
	"Korath Repeater Turret"
	"Korath Piercer"
	"Korath Piercer Rack"
	"Korath Piercer Launcher"
	"Korath Mine"
	"Korath Mine Rack"
	"Korath Minelayer"
	"Korath Disruptor"
	"Korath Slicer"
	"Korath Slicer Turret"
	"Korath Repeater Rifle"
	"Plankton Mouth"
	"Boomerang Organ"
	"Astral Mouth"
	"Timer Weapon"
	"Timer Submunition"
	"Small EM Battery"
	"Large EM Battery"
	"Small Hybrid Cooling"
	"Large Hybrid Cooling"
	"Fission Drive"
	"Fusion Drive"
	"Electronic Warfare System"
	"Dragonflame Cannon"
	"Sheragi Anti-Missile"
	"Particle Waveform Turret"
	"Shard Fabricator"
	"Shard inactive"
	"Heavy Ion Cyclotron"
	"Heavy Ion Fragment"
	"Shield Relay Booster"
	"Shield Relay Limiter"
	"Small Shield Relay"
	"Large Shield Relay"
	"Nanite Enhancer"
	"Nanite Limiter"
	"Small Nanite Fabricator"
	"Large Nanite Fabricator"
	"Solar Battery"
	"Solar Cell"
	"Reactor Overclocker"
	"Reactor Limiter"
	"Quark Reactor"
	"Electroweak Reactor"
	"Dark Reactor"
	"Lasher Pistol"
	"Chiisana Rift Thruster"
	"Nami Rift Thruster"
	"Ookii Rift Thruster"
	"Subarashii Rift Thruster"
	"Chiisana Rift Steering"
	"Nami Rift Steering"
	"Ookii Rift Steering"
	"Subarashii Rift Steering"
	"Locust Blaster"
	"Locust Turret"
	"Mandible Cannon"
	"Thorax Cannon"
	"Swarm Clip"
	"Swarm Missile"
	"Swarm Pod"
	"Buzzer Anti-Missile"
	"Aluminum"
	"Copper"
	"Gold"
	"Iron"
	"Lead"
	"Neodymium"
	"Platinum"
	"Silicon"
	"Silver"
	"Titanium"
	"Tungsten"
	"Uranium"
	"Yottrite"
	"Void Orchid"
	"Fate Sealer"
	"Fate Sealer Activated"
	"Fate Divider"
	"Fate Divider Activated"
	"Abyssal Composer"
	"Bombardment Cannon"
	"Bombardment Turret"
	"Finisher Pod"
	"Finisher Maegrolain"
	"Active Finisher"
	"Finisher Storage Tube"
	"Finisher Torpedo"
	"Heliarch Attractor"
	"Heliarch Repulsor"
	"Ion Hail Turret"
	"ion hail"
	"Ion Rain Gun"
	"MCS Extractor"
	"Small Collector Module"
	"Large Collector Module"
	"Small Reactor Module"
	"Large Reactor Module"
	"Small Cogeneration Module"
	"Large Cogeneration Module"
	"Small Battery Module"
	"Large Battery Module"
	"Small Shield Module"
	"Large Shield Module"
	"Overcharged Shield Module"
	"Small Repair Module"
	"Large Repair Module"
	"Overclocked Repair Module"
	"Cooling Module"
	"Fuel Module"
	"Scanning Module"
	"Outskirts Gauger"
	"Small Thrust Module"
	"Large Thrust Module"
	"Small Reverse Module"
	"Large Reverse Module"
	"Small Steering Module"
	"Large Steering Module"
	"Enforcer Confrontation Gear"
	"Enforcer Riot Staff"
	"Coalition License"
	"Ka'het Nullifier"
	"Ka'het Ravager Beam"
	"Ka'het Ravager Turret"
	"Ka'het Annihilator"
	"Ka'het Annihilator Turret"
	"Annihilator Projectile"
	"Ka'het EMP Deployer"
	"Ka'het Emergency Deployer"
	"Ka'het Support Cooling"
	"Ka'het Primary Cooling"
	"Ka'het Shield Restorer"
	"Ka'het Grand Restorer"
	"Ka'het MHD Generator"
	"Ka'het Reserve Accumulator"
	"Maeri Engine Nacelles"
	"Ka'het Sustainer Nacelles"
	"Telis Engine Nacelles"
	"Vareti Engine Block"
	"Ka'het Compact Engine"
	"Sunbeam"
	"Sunbeam Turret"
	"Dual Sunbeam Turret"
	"Moonbeam"
	"Moonbeam Turret"
	"Wanderer Anti-Missile"
	"Thunderhead Launcher"
	"Thunderhead Missile"
	"Thunderhead"
	"Thunderhead Storage Array"
	"Small Biochemical Cell"
	"Large Biochemical Cell"
	"Red Sun Reactor"
	"Yellow Sun Reactor"
	"White Sun Reactor"
	"Blue Sun Reactor"
	"Bright Cloud Shielding"
	"Dark Storm Shielding"
	"Wanderer Ramscoop"
	"Wanderer Heat Sink"
	"Type 1 Radiant Thruster"
	"Type 2 Radiant Thruster"
	"Type 3 Radiant Thruster"
	"Type 4 Radiant Thruster"
	"Type 1 Radiant Steering"
	"Type 2 Radiant Steering"
	"Type 3 Radiant Steering"
	"Type 4 Radiant Steering"
	"Wanderer Outfits License"
	"Wanderer License"
	"Wanderer Military License"
	"Pulse Cannon"
	"Pulse Turret"
	"Tripulse Shredder"
	"Ion Cannon"
	"Ionic Blaster Prototype"
	"Ionic Turret Prototype"
	"Railgun Slug"
	"Railgun Slug Rack"
	"Railgun"
	"rslug"
	"Hai Tracker"
	"Tracker Storage Pod"
	"Hai Tracker Pod"
	"Bullfrog Anti-Missile"
	"Chameleon Anti-Missile"
	"Hai Cuttlefish Jammer"
	"Hai Octopus Jammer"
	"Hai Corundum Regenerator"
	"Hai Diamond Regenerator"
	"Hai Williwaw Cooling"
	"Quantum Keystone"
	"Value Detector"
	"Hai Chasm Batteries"
	"Hai Fissure Batteries"
	"Hai Gorge Batteries"
	"Hai Ravine Batteries"
	"Hai Valley Batteries"
	"Boulder Reactor"
	"Geode Reactor"
	"Pebble Core"
	"Sand Cell"
	`"Baellie" Atomic Engines`
	`"Basrem" Atomic Thruster`
	`"Benga" Atomic Thruster`
	`"Biroo" Atomic Thruster`
	`"Bondir" Atomic Thruster`
	`"Bufaer" Atomic Thruster`
	`"Basrem" Reverse Thruster`
	`"Benga" Reverse Thruster`
	`"Biroo" Reverse Thruster`
	`"Basrem" Atomic Steering`
	`"Benga" Atomic Steering`
	`"Biroo" Atomic Steering`
	`"Bondir" Atomic Steering`
	`"Bufaer" Atomic Steering`
	"Pulse Rifle"
	"Shield Beetle Pendant"
	"Failed Control System"
	"Absorption Organ"
	Mouthparts?
	"Drak Distancer"
	"Drak Draining Field"
	"Drak Draining Field (Augmented)"
	"Drak Anti-Missile Field"
	"Drak Anti-Missile Field (Augmented)"
	"Drak Turret"
	"Drak Turret (Augmented)"
	"Drak Antimatter Cannon"
	"Drak Antimatter Cannon (Augmented)"
	"Drak Antimatter Fragment"
	"Drak Antimatter Fragment (Augmented)"
	"Supercapacitor"
	"LP036a Battery Pack"
	"LP072a Battery Pack"
	"LP144a Battery Pack"
	"LP288a Battery Pack"
	"LP576a Battery Pack"
	"KP-6 Photovoltaic Panel"
	"KP-6 Photovoltaic Array"
	"nGVF-AA Fuel Cell"
	"nGVF-BB Fuel Cell"
	"nGVF-CC Fuel Cell"
	"nGVF-DD Fuel Cell"
	"nGVF-EE Fuel Cell"
	"RT-I Radiothermal"
	"S3 Thermionic"
	"NT-200 Nucleovoltaic"
	"Dwarf Core"
	"Fission Reactor"
	"Breeder Reactor"
	"Fusion Reactor"
	"Armageddon Core"
	"Stack Core"
	"Mug"
	"Volcano Afterburner"
	"Caldera Afterburner"
	"Ionic Afterburner"
	"X1050 Ion Engines"
	"X1700 Ion Thruster"
	"X2700 Ion Thruster"
	"X3700 Ion Thruster"
	"X4700 Ion Thruster"
	"X5700 Ion Thruster"
	"X1200 Ion Steering"
	"X2200 Ion Steering"
	"X3200 Ion Steering"
	"X4200 Ion Steering"
	"X5200 Ion Steering"
	"X1100 Ion Reverse Thruster"
	"Chipmunk Plasma Thruster"
	"Greyhound Plasma Thruster"
	"Impala Plasma Thruster"
	"Orca Plasma Thruster"
	"Tyrant Plasma Thruster"
	"Chipmunk Plasma Steering"
	"Greyhound Plasma Steering"
	"Impala Plasma Steering"
	"Orca Plasma Steering"
	"Tyrant Plasma Steering"
	"Capybara Reverse Thruster"
	"A120 Atomic Thruster"
	"A250 Atomic Thruster"
	"A370 Atomic Thruster"
	"A520 Atomic Thruster"
	"A860 Atomic Thruster"
	"A125 Atomic Steering"
	"A255 Atomic Steering"
	"A375 Atomic Steering"
	"A525 Atomic Steering"
	"A865 Atomic Steering"
	"AR120 Reverse Thruster"
	"Cooling Ducts"
	"Water Coolant System"
	"Liquid Nitrogen Cooler"
	"Liquid Helium Cooler"
	"D14-RN Shield Generator"
	"D23-QP Shield Generator"
	"D41-HY Shield Generator"
	"D67-TM Shield Generator"
	"D94-YV Shield Generator"
	"S-270 Regenerator"
	"S-970 Regenerator"
	"Small Radar Jammer"
	"Large Radar Jammer"
	"Ramscoop"
	"Catalytic Ramscoop"
	"Hyperdrive"
	"Scram Drive"
	"Jump Drive"
	"Jump Drive (Broken)"
	"Cargo Scanner"
	"Outfit Scanner"
	"Asteroid Scanner"
	"Tactical Scanner"
	"Surveillance Pod"
	"Cloaking Device"
	"Outfits Expansion"
	"Cargo Expansion"
	"Bunk Room"
	"Small Bunk Room"
	"Brig"
	"Luxury Accommodations"
	"Fuel Pod"
	"Interference Plating"
	"Laser Rifle"
	"Fragmentation Grenades"
	"Security Station"
	"Nerve Gas"
	`"Puny"`
	"Tear of Skade"
	"Local Map"
	"Pilot's License"
	"Navy License"
	"Navy Auxiliary License"
	"Navy Cruiser License"
	"Navy Carrier License"
	"Militia License"
	"City-Ship License"
	"Energy Blaster"
	"Twin Blaster"
	"Blaster Submunition"
	"Blaster Turret"
	"Quad Blaster Turret"
	"Modified Blaster"
	"Twin Modified Blaster"
	"Modified Blaster Submunition"
	"Modified Blaster Turret"
	"Beam Laser"
	"Laser Turret"
	"Heavy Laser"
	"Heavy Laser Turret"
	"Electron Beam"
	"Electron Turret"
	"Anti-Missile Turret"
	"Heavy Anti-Missile Turret"
	"Particle Cannon"
	"Proton Gun"
	"Proton Fragment"
	"Proton Turret"
	"Plasma Cannon"
	"Plasma Turret"
	"Plasma Repeater"
	"Flamethrower"
	"Flamethrower Projectile"
	"Meteor Missile"
	"Meteor Missile Box"
	"Meteor Missile Launcher"
	"Meteor Missile Pod"
	"Sidewinder Missile"
	"Sidewinder Missile Rack"
	"Sidewinder Missile Launcher"
	"Sidewinder Missile Pod"
	"Javelin"
	"Javelin Storage Crate"
	"Javelin Pod"
	"Javelin Mini Pod"
	"Torpedo"
	"Torpedo Storage Rack"
	"Torpedo Launcher"
	"Torpedo Pod"
	"Typhoon Torpedo"
	"Typhoon Storage Tube"
	"Typhoon Launcher"
	"Typhoon Pod"
	"Heavy Rocket"
	"Heavy Rocket Rack"
	"Heavy Rocket Launcher"
	"Heavy Rocket Pod"
	"Nuclear Missile"
	"Gatling Gun Ammo"
	"Bullet Boxes"
	"Gatling Gun"
	"gbullet"
	"Imaginary Weapon"
	"Secret Cargo"
shipyard "everything"
	"Shale"
	"Dolomite"
	"Conglomerate"
	"Gypsum"
	"Dunite"
	"Augen"
	"Slate"
	"Schist"
	"Eclogite"
	"Diorite"
	"Hornfel"
	"Gneiss"
	"Granulite"
	"Halite"
	"Mica"
	"Coesite"
	"Tridymite"
	"Felsic"
	"Feldspar"
	"Epidote"
	"Albatross"
	"Modified Dromedary"
	"Gull"
	"Heron"
	"Ibis"
	"Merganser"
	"Pelican"
	"Penguin"
	"Peregrine"
	"Petrel"
	"Puffin"
	"Smew"
	"Starling"
	"Tern"
	"Marauder Fury"
	"Lampyrid-Class Transport"
	"Modified Osprey"
	"Ursa Polaris"
	"Shooting Star"
	"Marauder Bactrian"
	"Modified Boxwing"
	"Modified Battleship"
	"Modified Ladybug"
	"Quarg Skylark"
	"Quarg Wardragon"
	"Pincer Beast"
	"Rano'erek"
	"Palavret"
	"Tubfalet"
	"'nra'ret"
	"'olofez"
	"Kas'ik Tek 7"
	"Rai'alorej"
	"Ikatila'ej"
	"Lor'kas Ik 577"
	"Ra'gru Ik 618"
	"Kas'lor Ik 582"
	"Lor'nag Ik 590"
	"Ra'at Ik 621"
	"Kasichara A'awoj"
	"Korsmanath A'awoj"
	"Echo-Galleon"
	"Arch-Carrack"
	"Charm-Shallop"
	"Kar Ik Vot 349"
	"Tek Far 71 - Lek"
	"Tek Far 78 - Osk"
	"Tek Far 109"
	"Met Par Tek 53"
	"Far Lek 14"
	"Far Osk 27"
	"Model 8"
	"Model 16"
	"Model 32"
	"Model 64"
	"Model 128"
	"Model 256"
	"Model 512"
	"Pug Zibruka"
	"Pug Enfolta"
	"Pug Maboro"
	"Pug Arfecta"
	"Vyrmeid"
	"Astral Cetacean"
	"Emerald Sword"
	"Black Diamond"
	"Korath Dredger"
	"Korath Raider"
	"Korath Chaser"
	"Korath World-Ship"
	"Kaiken"
	"Sasumata"
	"Tanto"
	"Ararebo"
	"Tekkan"
	"Kunai"
	"Kama"
	"Chigiriki"
	"vyu-Ira"
	"Arach Courier"
	"Arach Freighter"
	"Arach Hulk"
	"Arach Spindle"
	"Arach Transport"
	"Heliarch Breacher"
	"Heliarch Hunter"
	"Heliarch Interdictor"
	"Heliarch Judicator"
	"Heliarch Neutralizer"
	"Heliarch Punisher"
	"Heliarch Pursuer"
	"Heliarch Rover"
	"Heliarch Stalker"
	"Kimek Briar"
	"Kimek Spire"
	"Kimek Thistle"
	"Kimek Thorn"
	"Saryd Runabout"
	"Saryd Sojourner"
	"Saryd Traveler"
	"Saryd Visitor"
	"Jje"
	"Ayym"
	"Maeri'het"
	"Telis'het"
	"Vareti'het"
	"Selii'mar"
	"Faes'mar"
	"Fetri'sei"
	"Earth Shaper"
	"Flycatcher"
	"Summer Leaf"
	"Autumn Leaf"
	"Strong Wind"
	"Tempest"
	"Derecho"
	"Hurricane"
	"Cool Breeze"
	"Winter Gale"
	"Deep River"
	"Deep River Transport"
	"Riptide"
	"Geodesic Geocoris"
	"Aphid"
	"Centipede"
	"Cicada"
	"Flea"
	"Geocoris"
	"Grasshopper"
	"Lightning Bug"
	"Ladybug"
	"Pond Strider"
	"Sea Scorpion"
	"Scarab"
	"Shield Beetle"
	"Solifuge"
	"Violin Spider"
	"Water Bug"
	"Subsidurial"
	"Void Sprite"
	"Ember Waste Node"
	"Embershade"
	"Embersylph"
	"Archon"
	"Marauder Arrow"
	"Marauder Bounder"
	"Marauder Falcon"
	"Marauder Firebird"
	"Marauder Leviathan"
	"Marauder Manta"
	"Marauder Quicksilver"
	"Marauder Raven"
	"Marauder Splinter"
	"Hallucination"
	"Asteroid"
	"Science Drone"
	"Unknown Ship Type"
	"Kestrel"
	"Aerie"
	"Argosy"
	"Arrow"
	"Auxiliary"
	"Bactrian"
	"Barb"
	"Bastion"
	"Behemoth"
	"Berserker"
	"Blackbird"
	"Bounder"
	"Boxwing"
	"Bulk Freighter"
	"Bulwark"
	"Carrier"
	"Class C Freighter"
	"Clipper"
	"Combat Drone"
	"Container Transport"
	"Corvette"
	"Cruiser"
	"Cutthroat"
	"Dagger"
	"Dreadnought"
	"Dropship"
	"Falcon"
	"Finch"
	"Firebird"
	"Flivver"
	"Freighter"
	"Frigate"
	"Fury"
	"Gunboat"
	"Hauler"
	"Hauler II"
	"Hauler III"
	"Hawk"
	"Headhunter"
	"Heavy Shuttle"
	"Lance"
	"Leviathan"
	"Mammoth"
	"Manta"
	"Modified Argosy"
	"Mule"
	"Nest"
	"Nighthawk"
	"Osprey"
	"Protector"
	"Quicksilver"
	"Rainmaker"
	"Raven"
	"Roost"
	"Scout"
	"Scrapper"
	"Shuttle"
	"Skein"
	"Sparrow"
	"Splinter"
	"Star Barge"
	"Star Queen"
	"Surveillance Drone"
	"Valkyrie"
	"Vanguard"
	"Wasp"
